"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),버스노선 배차간격 조정,버스노선 증설,운수종사자 친절 및 안전 운행,버스정보시스템(BIS) 개선,정류장 간격 조정,정류소 비가림 승차대 시설 확대,기타
"전체",소계,65.5,55.8,23.8,19.9,18.0,13.7,1.1
"시도별",제주시,68.2,59.4,20.7,20.8,14.8,12.6,1.2
"시도별",서귀포시,58.2,46.3,32.0,17.5,26.2,16.5,0.7
"읍면별",제주시 동부,64.3,60.3,19.8,24.1,13.8,13.6,1.4
"읍면별",제주시 읍면부,81.5,56.5,23.6,9.9,18.2,8.9,0.6
"읍면별",서귀포시 동부,62.2,51.5,26.3,19.1,16.9,20.5,0.5
"읍면별",서귀포시 읍면부,53.2,39.9,39.0,15.5,37.7,11.7,0.9
"소득별",100만원 미만,66.3,58.0,26.8,12.0,20.2,10.3,2.0
"소득별",100~200만원 미만,69.3,60.1,20.7,16.9,17.5,12.4,1.0
"소득별",200~300만원 미만,61.7,55.2,25.9,20.4,19.4,14.8,0.6
"소득별",300~400만원 미만,65.3,55.7,23.7,20.6,16.0,16.6,0.9
"소득별",400~500만원 미만,65.9,52.8,18.7,23.5,20.2,14.0,1.1
"소득별",500~600만원 미만,66.9,51.6,20.7,32.5,14.9,11.5,0.5
"소득별",600~700만원 미만,69.7,54.8,27.1,22.2,12.1,14.1,0.0
"소득별",700만원 이상,63.2,52.5,31.6,21.1,16.3,9.7,2.9
"주거형태별",단독주택,66.4,53.5,26.9,14.5,22.6,12.1,1.5
"주거형태별",아파트,67.9,59.8,20.9,23.4,12.3,13.2,0.5
"주거형태별",다세대주택,54.6,56.4,21.2,22.4,20.9,17.3,2.3
"주거형태별",연립주택,58.4,55.4,19.7,31.0,13.1,20.2,0.7
"주거형태별",기타,72.4,50.3,24.8,24.2,15.9,11.9,0.0
"주거점유형태별",자기집,64.9,54.7,24.4,20.3,19.5,12.7,1.1
"주거점유형태별",전세,63.9,61.2,23.9,18.7,9.5,20.9,0.6
"주거점유형태별",보증금 있는 연/월세,68.4,64.3,17.6,19.1,12.9,15.1,0.6
"주거점유형태별",보증금 없는 연/월세,63.5,43.3,30.4,14.3,26.6,14.8,3.2
"주거점유형태별",무상 및 기타,66.7,47.2,32.0,26.2,14.9,10.2,1.0
"성별",남성,65.5,56.4,22.9,21.1,17.3,14.0,1.0
"성별",여성,65.4,55.3,24.7,18.7,18.6,13.3,1.1
"연령별",15~19세,69.6,60.3,19.9,24.1,14.3,10.9,0.5
"연령별",20~29세,68.2,59.6,21.5,20.6,14.3,14.3,0.7
"연령별",30~39세,60.6,56.7,23.7,23.1,17.3,14.8,1.4
"연령별",40~49세,64.4,54.8,25.7,22.6,15.3,13.5,0.9
"연령별",50~59세,65.7,54.1,22.7,19.9,18.8,15.2,1.3
"연령별",60세 이상,66.5,53.9,25.7,13.6,23.5,12.2,1.2
"학력별",초등학교 졸업 이하,65.5,54.0,26.5,10.0,26.5,11.8,1.4
"학력별",중학교 졸업,62.8,55.8,23.6,16.3,24.1,14.1,0.6
"학력별",고등학교 졸업,66.8,52.8,23.3,20.1,18.5,14.6,1.3
"학력별",대학교 졸업,65.2,58.6,23.3,22.5,14.3,13.6,0.9
"학력별",대학원 졸업,60.9,55.9,27.2,29.5,13.8,8.7,2.0
"직업별",전문/관리,66.6,59.2,19.5,25.3,15.2,10.5,1.8
"직업별",사무직,61.6,58.3,24.5,24.1,15.2,14.0,0.7
"직업별",서비스/판매,64.2,53.6,23.3,21.1,16.3,18.4,0.9
"직업별",농/림/어업,71.3,51.9,26.9,9.1,26.8,11.2,0.7
"직업별",기능/단순노무,64.2,48.9,26.5,20.3,21.2,14.1,1.3
"직업별",학생,69.7,62.2,19.7,21.6,14.5,10.9,0.6
"직업별",주부,64.3,55.2,25.7,15.9,20.0,14.3,1.1
"직업별",무직/기타,63.1,58.2,25.2,20.7,16.5,11.5,1.7
