기준 연월,용도대분류,용도소분류,사고 건수(건),부상자 수(명),사망자 수(명)
201912,사업용,렌터카,891,1492,8
201911,사업용,렌터카,960,1501,7
201910,사업용,렌터카,926,1453,8
201909,사업용,렌터카,844,1360,11
201908,사업용,렌터카,857,1373,4
201907,사업용,렌터카,847,1329,8
201906,사업용,렌터카,878,1422,5
201905,사업용,렌터카,830,1391,6
201904,사업용,렌터카,799,1357,3
201903,사업용,렌터카,773,1327,3
201902,사업용,렌터카,652,1101,5
201901,사업용,렌터카,719,1150,14
201812,사업용,렌터카,742,1119,10
201811,사업용,렌터카,753,1218,7
201810,사업용,렌터카,775,1193,6
201809,사업용,렌터카,731,1197,5
201808,사업용,렌터카,769,1272,14
201807,사업용,렌터카,748,1124,13
201806,사업용,렌터카,678,1103,9
201805,사업용,렌터카,713,1149,10
201804,사업용,렌터카,678,1048,5
201803,사업용,렌터카,655,1007,13
201802,사업용,렌터카,664,1123,3
201801,사업용,렌터카,687,1144,10
201712,사업용,렌터카,740,1218,15
201711,사업용,렌터카,670,1045,5
201710,사업용,렌터카,646,1071,8
201709,사업용,렌터카,699,1137,14
201708,사업용,렌터카,663,1065,13
201707,사업용,렌터카,669,1130,11
201706,사업용,렌터카,647,1018,9
201705,사업용,렌터카,657,1048,5
201704,사업용,렌터카,643,1042,3
201703,사업용,렌터카,614,1008,8
201702,사업용,렌터카,580,920,12
201701,사업용,렌터카,663,1092,13
201612,사업용,렌터카,694,1110,9
201611,사업용,렌터카,678,1089,14
201610,사업용,렌터카,719,1167,8
201609,사업용,렌터카,639,1047,10
201608,사업용,렌터카,773,1272,11
201607,사업용,렌터카,720,1225,3
201606,사업용,렌터카,664,1041,9
201605,사업용,렌터카,703,1108,6
201604,사업용,렌터카,672,1098,9
201603,사업용,렌터카,614,959,9
201602,사업용,렌터카,557,964,3
201601,사업용,렌터카,601,996,15
201512,사업용,렌터카,565,908,10
201511,사업용,렌터카,514,876,14
201510,사업용,렌터카,538,909,7
201509,사업용,렌터카,530,931,8
201508,사업용,렌터카,628,1113,12
201507,사업용,렌터카,568,956,12
201506,사업용,렌터카,489,840,3
201505,사업용,렌터카,517,856,9
201504,사업용,렌터카,487,807,8
201503,사업용,렌터카,521,867,14
201502,사업용,렌터카,422,717,13
201501,사업용,렌터카,454,699,9
201412,사업용,렌터카,475,804,7
201411,사업용,렌터카,483,783,6
201410,사업용,렌터카,531,853,14
201409,사업용,렌터카,485,871,9
201408,사업용,렌터카,558,1034,9
201407,사업용,렌터카,533,949,8
201406,사업용,렌터카,467,833,6
201405,사업용,렌터카,468,820,5
201404,사업용,렌터카,419,706,5
201403,사업용,렌터카,465,689,6
201402,사업용,렌터카,377,650,12
201401,사업용,렌터카,378,652,4
201312,사업용,렌터카,398,605,13
201311,사업용,렌터카,463,757,6
201310,사업용,렌터카,454,738,8
201309,사업용,렌터카,428,666,13
201308,사업용,렌터카,516,944,2
201307,사업용,렌터카,512,863,9
201306,사업용,렌터카,436,743,12
201305,사업용,렌터카,486,830,8
201304,사업용,렌터카,455,777,9
201303,사업용,렌터카,436,704,9
201302,사업용,렌터카,351,621,6
201301,사업용,렌터카,405,726,11
201212,사업용,렌터카,453,789,9
201211,사업용,렌터카,476,819,7
201210,사업용,렌터카,440,731,6
201209,사업용,렌터카,456,764,3
201208,사업용,렌터카,491,866,11
201207,사업용,렌터카,506,914,8
201206,사업용,렌터카,454,756,9
201205,사업용,렌터카,448,730,10
201204,사업용,렌터카,488,800,11
201203,사업용,렌터카,415,679,6
201202,사업용,렌터카,388,681,7
201201,사업용,렌터카,383,667,4
201112,사업용,렌터카,393,613,6
201111,사업용,렌터카,393,617,7
201110,사업용,렌터카,410,722,4
201109,사업용,렌터카,371,615,8
201108,사업용,렌터카,458,859,14
201107,사업용,렌터카,431,755,8
201106,사업용,렌터카,394,714,14
201105,사업용,렌터카,392,649,9
201104,사업용,렌터카,330,555,7
201103,사업용,렌터카,312,576,6
201102,사업용,렌터카,269,463,4
201101,사업용,렌터카,339,585,5
201012,사업용,렌터카,338,610,8
201011,사업용,렌터카,343,571,8
201010,사업용,렌터카,344,590,10
201009,사업용,렌터카,336,573,5
201008,사업용,렌터카,419,799,2
201007,사업용,렌터카,388,644,9
201006,사업용,렌터카,351,587,8
201005,사업용,렌터카,383,676,7
201004,사업용,렌터카,347,626,4
201003,사업용,렌터카,317,530,3
201002,사업용,렌터카,265,423,9
201001,사업용,렌터카,338,627,4
200912,사업용,렌터카,333,551,7
200911,사업용,렌터카,325,528,3
200910,사업용,렌터카,362,622,5
200909,사업용,렌터카,343,568,6
200908,사업용,렌터카,416,781,15
200907,사업용,렌터카,426,773,8
200906,사업용,렌터카,331,559,6
200905,사업용,렌터카,344,593,11
200904,사업용,렌터카,313,593,7
200903,사업용,렌터카,266,458,13
200902,사업용,렌터카,280,441,11
200901,사업용,렌터카,279,512,9
200812,사업용,렌터카,302,485,11
200811,사업용,렌터카,312,518,7
200810,사업용,렌터카,356,616,9
200809,사업용,렌터카,293,543,8
200808,사업용,렌터카,396,707,12
200807,사업용,렌터카,367,707,1
200806,사업용,렌터카,349,630,5
200805,사업용,렌터카,342,660,7
200804,사업용,렌터카,279,522,8
200803,사업용,렌터카,262,482,8
200802,사업용,렌터카,244,482,9
200801,사업용,렌터카,207,372,5
200712,사업용,렌터카,273,470,6
200711,사업용,렌터카,268,454,7
200710,사업용,렌터카,268,465,11
200709,사업용,렌터카,267,520,7
200708,사업용,렌터카,349,632,7
200707,사업용,렌터카,307,565,4
200706,사업용,렌터카,265,442,9
200705,사업용,렌터카,270,499,4
200704,사업용,렌터카,268,493,7
200703,사업용,렌터카,237,426,2
200702,사업용,렌터카,198,349,7
200701,사업용,렌터카,195,350,7
200612,사업용,렌터카,239,446,10
200611,사업용,렌터카,246,414,16
200610,사업용,렌터카,238,420,3
200609,사업용,렌터카,252,448,9
200608,사업용,렌터카,296,572,7
200607,사업용,렌터카,281,523,10
200606,사업용,렌터카,237,432,10
200605,사업용,렌터카,226,441,3
200604,사업용,렌터카,206,393,5
200603,사업용,렌터카,188,320,6
200602,사업용,렌터카,169,311,8
200601,사업용,렌터카,164,285,6
200512,사업용,렌터카,202,391,8
200511,사업용,렌터카,201,359,3
200510,사업용,렌터카,218,382,5
200509,사업용,렌터카,183,330,3
200508,사업용,렌터카,258,530,6
200507,사업용,렌터카,241,497,4
200506,사업용,렌터카,195,364,2
200505,사업용,렌터카,190,325,2
200504,사업용,렌터카,185,338,6
200503,사업용,렌터카,166,307,1
200502,사업용,렌터카,121,246,4
200501,사업용,렌터카,137,271,9
